Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Normal Weight (BMI 18.5-24.9),45-54,Age Group,189,20.24,16.87,23.61,1,%,Crude Prevalence,,,BRFSS,CLASS14,TOPIC09,29,AGE04,CAT3,_BMI5CAT,RESP041,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Overweight (BMI 25.0-29.9),"$35,000-$49,999",Household Income,295,34.75,30.18,39.32,1,%,Crude Prevalence,,,BRFSS,CLASS14,TOPIC09,29,INCOME4,CAT6,_BMI5CAT,RESP040,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Obese (BMI 30.0 - 99.8),H.S. or G.E.D.,Education Attained,794,36.42,33.56,39.28,1,%,Crude Prevalence,,,BRFSS,CLASS14,TOPIC09,29,EDUCA2,CAT5,_BMI5CAT,RESP039,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Normal Weight (BMI 18.5-24.9),Some post-H.S.,Education Attained,546,30.28,27.34,33.22,1,%,Crude Prevalence,,,BRFSS,CLASS14,TOPIC09,29,EDUCA3,CAT5,_BMI5CAT,RESP041,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Underweight (BMI 12.0-18.4),65+,Age Group,65,2.4,1.54,3.26,1,%,Crude Prevalence,,,BRFSS,CLASS14,TOPIC09,29,AGE09,CAT3,_BMI5CAT,RESP042,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Normal Weight (BMI 18.5-24.9),18-24,Age Group,200,51.07,45.03,57.11,1,%,Crude Prevalence,,,BRFSS,CLASS14,TOPIC09,29,AGE01,CAT3,_BMI5CAT,RESP041,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Overweight (BMI 25.0-29.9),"Less than $15,000",Household Income,146,23.28,18.26,28.3,1,%,Crude Prevalence,,,BRFSS,CLASS14,TOPIC09,29,INCOME1,CAT6,_BMI5CAT,RESP040,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Obese (BMI 30.0 - 99.8),"$50,000+",Household Income,855,34.65,32.12,37.18,1,%,Crude Prevalence,,,BRFSS,CLASS14,TOPIC09,29,INCOME5,CAT6,_BMI5CAT,RESP039,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Obese (BMI 30.0 - 99.8),College graduate,Education Attained,654,28.5,25.99,31.01,1,%,Crude Prevalence,,,BRFSS,CLASS14,TOPIC09,29,EDUCA4,CAT5,_BMI5CAT,RESP039,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Overweight (BMI 25.0-29.9),"White, non-Hispanic",Race/Ethnicity,"1,983",33.93,32.21,35.65,1,%,Crude Prevalence,,,BRFSS,CLASS14,TOPIC09,29,RACE01,CAT4,_BMI5CAT,RESP040,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Obese (BMI 30.0 - 99.8),65+,Age Group,890,31.87,29.5,34.24,1,%,Crude Prevalence,,,BRFSS,CLASS14,TOPIC09,29,AGE09,CAT3,_BMI5CAT,RESP039,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Underweight (BMI 12.0-18.4),25-34,Age Group,8,,,,1,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS14,TOPIC09,29,AGE02,CAT3,_BMI5CAT,RESP042,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Obese (BMI 30.0 - 99.8),"Native Hawaiian or other Pacific Islander, non-Hispanic",Race/Ethnicity,4,,,,1,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS14,TOPIC09,29,RACE05,CAT4,_BMI5CAT,RESP039,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Normal Weight (BMI 18.5-24.9),"Black, non-Hispanic",Race/Ethnicity,151,30.53,25.26,35.8,1,%,Crude Prevalence,,,BRFSS,CLASS14,TOPIC09,29,RACE02,CAT4,_BMI5CAT,RESP041,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Overweight (BMI 25.0-29.9),Overall,Overall,"2,302",33.3,31.73,34.87,1,%,Crude Prevalence,,,BRFSS,CLASS14,TOPIC09,29,BO1,CAT1,_BMI5CAT,RESP040,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Normal Weight (BMI 18.5-24.9),"$15,000-$24,999",Household Income,276,31.39,27.08,35.7,1,%,Crude Prevalence,,,BRFSS,CLASS14,TOPIC09,29,INCOME2,CAT6,_BMI5CAT,RESP041,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Overweight (BMI 25.0-29.9),"Other, non-Hispanic",Race/Ethnicity,9,,,,1,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS14,TOPIC09,29,RACE06,CAT4,_BMI5CAT,RESP040,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Obese (BMI 30.0 - 99.8),18-24,Age Group,96,22.92,17.75,28.09,1,%,Crude Prevalence,,,BRFSS,CLASS14,TOPIC09,29,AGE01,CAT3,_BMI5CAT,RESP039,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Normal Weight (BMI 18.5-24.9),Less than H.S.,Education Attained,138,29.73,24.01,35.45,1,%,Crude Prevalence,,,BRFSS,CLASS14,TOPIC09,29,EDUCA1,CAT5,_BMI5CAT,RESP041,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Normal Weight (BMI 18.5-24.9),"Multiracial, non-Hispanic",Race/Ethnicity,23,20.85,10.91,30.79,1,%,Crude Prevalence,,,BRFSS,CLASS14,TOPIC09,29,RACE07,CAT4,_BMI5CAT,RESP041,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Underweight (BMI 12.0-18.4),"$25,000-$34,999",Household Income,15,,,,1,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS14,TOPIC09,29,INCOME3,CAT6,_BMI5CAT,RESP042,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Underweight (BMI 12.0-18.4),"American Indian or Alaskan Native, non-Hispanic",Race/Ethnicity,2,,,,1,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS14,TOPIC09,29,RACE03,CAT4,_BMI5CAT,RESP042,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Underweight (BMI 12.0-18.4),Hispanic,Race/Ethnicity,0,,,,1,%,Crude Prevalence,**,No responses for this data cell,BRFSS,CLASS14,TOPIC09,29,RACE08,CAT4,_BMI5CAT,RESP042,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Normal Weight (BMI 18.5-24.9),"Other, non-Hispanic",Race/Ethnicity,7,,,,1,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS14,TOPIC09,29,RACE06,CAT4,_BMI5CAT,RESP041,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Underweight (BMI 12.0-18.4),Overall,Overall,125,1.6,1.21,1.99,1,%,Crude Prevalence,,,BRFSS,CLASS14,TOPIC09,29,BO1,CAT1,_BMI5CAT,RESP042,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Overweight (BMI 25.0-29.9),35-44,Age Group,237,35.18,30.69,39.67,1,%,Crude Prevalence,,,BRFSS,CLASS14,TOPIC09,29,AGE03,CAT3,_BMI5CAT,RESP040,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Normal Weight (BMI 18.5-24.9),55-64,Age Group,335,25.77,22.69,28.85,1,%,Crude Prevalence,,,BRFSS,CLASS14,TOPIC09,29,AGE05,CAT3,_BMI5CAT,RESP041,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Obese (BMI 30.0 - 99.8),"Less than $15,000",Household Income,242,37.5,31.62,43.38,1,%,Crude Prevalence,,,BRFSS,CLASS14,TOPIC09,29,INCOME1,CAT6,_BMI5CAT,RESP039,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Overweight (BMI 25.0-29.9),"$50,000+",Household Income,966,36.3,33.81,38.79,1,%,Crude Prevalence,,,BRFSS,CLASS14,TOPIC09,29,INCOME5,CAT6,_BMI5CAT,RESP040,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Underweight (BMI 12.0-18.4),College graduate,Education Attained,23,0.84,0.35,1.33,1,%,Crude Prevalence,,,BRFSS,CLASS14,TOPIC09,29,EDUCA4,CAT5,_BMI5CAT,RESP042,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Normal Weight (BMI 18.5-24.9),H.S. or G.E.D.,Education Attained,599,28.22,25.52,30.92,1,%,Crude Prevalence,,,BRFSS,CLASS14,TOPIC09,29,EDUCA2,CAT5,_BMI5CAT,RESP041,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Obese (BMI 30.0 - 99.8),Some post-H.S.,Education Attained,689,36.09,33.07,39.11,1,%,Crude Prevalence,,,BRFSS,CLASS14,TOPIC09,29,EDUCA3,CAT5,_BMI5CAT,RESP039,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Obese (BMI 30.0 - 99.8),Male,Gender,"1,084",34.92,32.61,37.23,1,%,Crude Prevalence,,,BRFSS,CLASS14,TOPIC09,29,SEX1,CAT2,_BMI5CAT,RESP039,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Normal Weight (BMI 18.5-24.9),"Less than $15,000",Household Income,163,35.23,29.17,41.29,1,%,Crude Prevalence,,,BRFSS,CLASS14,TOPIC09,29,INCOME1,CAT6,_BMI5CAT,RESP041,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Underweight (BMI 12.0-18.4),18-24,Age Group,8,,,,1,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS14,TOPIC09,29,AGE01,CAT3,_BMI5CAT,RESP042,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Underweight (BMI 12.0-18.4),"Black, non-Hispanic",Race/Ethnicity,14,,,,1,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS14,TOPIC09,29,RACE02,CAT4,_BMI5CAT,RESP042,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Obese (BMI 30.0 - 99.8),"Other, non-Hispanic",Race/Ethnicity,11,,,,1,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS14,TOPIC09,29,RACE06,CAT4,_BMI5CAT,RESP039,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Overweight (BMI 25.0-29.9),18-24,Age Group,99,24.26,19.18,29.34,1,%,Crude Prevalence,,,BRFSS,CLASS14,TOPIC09,29,AGE01,CAT3,_BMI5CAT,RESP040,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Normal Weight (BMI 18.5-24.9),25-34,Age Group,240,31.79,27.54,36.04,1,%,Crude Prevalence,,,BRFSS,CLASS14,TOPIC09,29,AGE02,CAT3,_BMI5CAT,RESP041,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Obese (BMI 30.0 - 99.8),"$35,000-$49,999",Household Income,310,37.21,32.53,41.89,1,%,Crude Prevalence,,,BRFSS,CLASS14,TOPIC09,29,INCOME4,CAT6,_BMI5CAT,RESP039,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Overweight (BMI 25.0-29.9),65+,Age Group,"1,013",36.67,34.24,39.1,1,%,Crude Prevalence,,,BRFSS,CLASS14,TOPIC09,29,AGE09,CAT3,_BMI5CAT,RESP040,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Underweight (BMI 12.0-18.4),"$15,000-$24,999",Household Income,24,1.58,0.84,2.32,1,%,Crude Prevalence,,,BRFSS,CLASS14,TOPIC09,29,INCOME2,CAT6,_BMI5CAT,RESP042,"(38.635790776000476, -92.56630005299968)"
2019,MO,Missouri,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Underweight (BMI 12.0-18.4),Less than H.S.,Education Attained,21,4.28,1.87,6.69,1,%,Crude Prevalence,,,BRFSS,CLASS14,TOPIC09,29,EDUCA1,CAT5,_BMI5CAT,RESP042,"(38.635790776000476, -92.56630005299968)"
